Version.[Version Name],DC,Warehouse,Store,Time.[Week],Item.[Stat Item],Actual
CurrentWorkingView,106446,106968,1052013,31-Mar-25,010160,2422.5
CurrentWorkingView,106446,106968,1052013,07-Apr-25,010160,3562.5
CurrentWorkingView,106446,106406,40101,05-Dec-22,010160,712.5
CurrentWorkingView,106446,106406,40101,22-Jul-24,010160,712.5
CurrentWorkingView,106446,106406,40101,02-Sep-24,010160,997.5
CurrentWorkingView,106446,106406,100868,18-Jul-22,010160,2351.25
CurrentWorkingView,106446,106406,100868,08-Aug-22,010160,1567.5
CurrentWorkingView,106446,106406,100868,09-Jan-23,010160,1852.5
CurrentWorkingView,106446,106406,100868,29-May-23,010160,1710
CurrentWorkingView,106446,106406,100868,09-Dec-24,010160,2137.5
CurrentWorkingView,106446,106968,1052013,16-May-22,010160,2850
CurrentWorkingView,106446,106968,1052013,01-Aug-22,010160,1282.5
CurrentWorkingView,106446,106968,1052013,02-Jan-23,010160,1852.5
CurrentWorkingView,106446,106968,1052013,08-May-23,010160,1852.5
CurrentWorkingView,106446,106968,1052013,10-Feb-25,010160,1710
CurrentWorkingView,106446,106968,1052013,20-Feb-23,010160,712.5
CurrentWorkingView,106446,106968,1052013,06-Jun-22,010160,570
